longitude,latitude,info
19.25808333333333,54.591883333333335,<b>302/2025</b><br>Lokalne BHMW
19.232516666666665,54.50886666666667,<b>301/2025</b><br>Lokalne BHMW
19.2004,54.43196666666667,<b>300/2025</b><br>Lokalne BHMW
14.535866666666667,54.0567,<b>299/2025</b><br>Brzegowe
16.62226666666667,54.58231666666667,<b>298/2025</b><br>Brzegowe
16.666416666666667,54.651783333333334,<b>297/2025</b><br>NAVTEX
19.25808333333333,54.591883333333335,<b>296/2025</b><br>Lokalne BHMW
16.487533333333335,54.77721666666667,<b>295/2025</b><br>NAVTEX
17.858333333333334,54.82333333333334,<b>293/2025</b><br>Brzegowe
16.62226666666667,54.58231666666667,<b>290/2025</b><br>Brzegowe
16.666416666666667,54.651783333333334,<b>289/2025</b><br>NAVTEX
