Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,geometry,AisVersion,CallSign,Destination,Dimension,Dte,Eta,FixType,ImoNumber,MaximumStaticDraught,Name,Type
53.8,216650.0,54.39937166666667,18.695696666666667,3,5.0,False,False,0.0,0,0.0,0,0.0,58.0,337.0,261004168,True,POINT (18.695696666666667 54.39937166666667),2.0,SNHR   ,GDANSK              ,"{'A': 10, 'B': 18, 'C': 7, 'D': 6}",False,"{'Day': 1, 'Hour': 9, 'Minute': 0, 'Month': 8}",1.0,9906221.0,5.9,ARES                ,52.0
347.6,82032.0,54.405895,18.666103333333336,1,0.0,False,False,0.0,0,0.0,0,0.0,49.0,297.0,261003330,True,POINT (18.666103333333336 54.405895),1.0,SPG2952,GDANSK              ,"{'A': 10, 'B': 20, 'C': 3, 'D': 7}",False,"{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",1.0,9240354.0,5.0,TAURUS              ,32.0
264.5,49329.0,54.42193333333333,18.691865,5,5.0,True,False,-127.0,0,23.9,False,0.0,51.0,263.0,261080070,True,POINT (18.691865 54.42193333333333),2.0,SG-SNIC,,"{'A': 12, 'B': 4, 'C': 2, 'D': 3}",False,"{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",0.0,0.0,0.0,PILOT 23            ,50.0
312.3,85018.0,54.536883333333336,18.52991666666667,3,5.0,False,False,0.0,0,0.0,0,0.0,11.0,117.0,261000620,True,POINT (18.52991666666667 54.536883333333336),,,,,,,,,,,
,,,,5,,,,,0,,False,,,,377207000,True,,1.0,J8B6477,PL GDY              ,"{'A': 9, 'B': 23, 'C': 2, 'D': 7}",False,"{'Day': 27, 'Hour': 15, 'Minute': 0, 'Month': 3}",3.0,8422058.0,4.2,HIPPO               ,52.0
36.3,0.0,54.53834,18.524641666666664,3,5.0,False,False,0.0,0,0.0,0,0.0,22.0,295.0,236297000,True,POINT (18.524641666666664 54.53834),0.0,ZDHB8  ,ZZ ZZZ              ,"{'A': 91, 'B': 8, 'C': 9, 'D': 5}",False,"{'Day': 14, 'Hour': 5, 'Minute': 0, 'Month': 2}",3.0,9323651.0,4.2,MAGNAR              ,79.0
161.9,2216.0,54.41115,18.659409999999998,1,15.0,False,False,-128.0,0,6.3,0,0.0,13.0,511.0,261004530,True,POINT (18.659409999999998 54.41115),,,,,,,,,,,
4.6,33316.0,54.536735,18.546606666666666,1,0.0,True,True,-128.0,0,0.0,0,0.0,14.0,511.0,261462000,True,POINT (18.546606666666666 54.536735),,,,,,,,,,,
352.2,84938.0,54.382846666666666,18.73062666666667,3,5.0,False,False,0.0,0,0.0,0,0.0,13.0,220.0,636022441,True,POINT (18.73062666666667 54.382846666666666),,,,,,,,,,,
360.0,2189.0,54.358565,18.672621666666664,1,0.0,True,False,-128.0,0,0.0,0,0.0,15.0,511.0,261011140,True,POINT (18.672621666666664 54.358565),,,,,,,,,,,
199.8,33346.0,54.53199333333334,18.548226666666668,1,0.0,False,False,-2.0,0,0.0,0,0.0,16.0,354.0,261044070,True,POINT (18.548226666666668 54.53199333333334),,,,,,,,,,,
360.0,27939.0,54.52563333333333,18.549505,3,3.0,True,True,-128.0,0,0.0,0,0.0,25.0,511.0,261000864,True,POINT (18.549505 54.52563333333333),,,,,,,,,,,
360.0,85882.0,54.38106166666667,18.661965000000002,3,5.0,False,False,-128.0,0,0.0,0,0.0,16.0,511.0,261199000,True,POINT (18.661965000000002 54.38106166666667),,,,,,,,,,,
360.0,23048.0,54.38608833333333,18.671815,1,0.0,False,False,-128.0,0,0.0,0,0.0,16.0,511.0,261182515,True,POINT (18.671815 54.38608833333333),,,,,,,,,,,
156.1,2217.0,54.388461666666664,18.730501666666665,1,15.0,False,False,-128.0,0,0.0,0,0.0,16.0,511.0,211517420,True,POINT (18.730501666666665 54.388461666666664),,,,,,,,,,,
258.9,214986.0,54.517795,18.607933333333335,5,1.0,True,False,0.0,0,0.1,False,0.0,17.0,359.0,305814000,True,POINT (18.607933333333335 54.517795),2.0,V2RA7,PLGDY,"{'A': 77, 'B': 12, 'C': 3, 'D': 9}",False,"{'Day': 13, 'Hour': 19, 'Minute': 0, 'Month': 4}",1.0,9373278.0,3.4,GT PIKE,79.0
225.3,82131.0,54.559916666666666,18.724148333333336,1,0.0,True,False,-127.0,0,9.7,0,0.0,16.0,225.0,261036120,True,POINT (18.724148333333336 54.559916666666666),,,,,,,,,,,
227.6,98980.0,54.44079333333333,18.69495,1,8.0,False,False,0.0,0,6.8,0,0.0,18.0,224.0,261011150,True,POINT (18.69495 54.44079333333333),,,,,,,,,,,
119.3,82010.0,54.520496666666666,18.55027,1,0.0,True,True,0.0,0,0.0,0,0.0,18.0,265.0,261000490,True,POINT (18.55027 54.520496666666666),1.0,SPG2638,GDYNIA              ,"{'A': 10, 'B': 12, 'C': 2, 'D': 4}",False,"{'Day': 30, 'Hour': 14, 'Minute': 30, 'Month': 3}",1.0,0.0,2.1,TUCANA              ,55.0
0.0,2195.0,54.364778333333334,18.646375,1,15.0,False,False,-128.0,0,0.0,0,0.0,17.0,511.0,356731000,True,POINT (18.646375 54.364778333333334),,,,,,,,,,,
66.6,9695.0,54.52044166666667,18.550615,1,5.0,True,False,0.0,0,0.0,0,0.0,19.0,265.0,261092010,True,POINT (18.550615 54.52044166666667),,,,,,,,,,,
